timestamp,temperature_1,temperature_2,temperature_3,pressure,fo_value
2024-01-01 10:00:00+00:00,25.1,24.8,25.3,0.98,0.01
2024-01-01 10:00:10+00:00,35.2,34.9,35.5,1.02,0.02
2024-01-01 10:00:20+00:00,45.1,44.8,45.4,1.05,0.03
2024-01-01 10:00:30+00:00,55.3,55.0,55.6,1.08,0.05
2024-01-01 10:00:40+00:00,65.2,64.9,65.5,1.12,0.08
2024-01-01 10:00:50+00:00,75.1,74.8,75.4,1.15,0.12
2024-01-01 10:01:00+00:00,85.0,84.7,85.3,1.18,0.18
2024-01-01 10:01:10+00:00,94.9,94.6,95.2,1.22,0.25
2024-01-01 10:01:20+00:00,104.8,104.5,105.1,1.25,0.35
2024-01-01 10:01:30+00:00,114.7,114.4,115.0,1.28,0.48
2024-01-01 10:01:40+00:00,118.3,118.0,118.6,1.31,0.65
2024-01-01 10:01:50+00:00,119.2,118.9,119.5,1.32,0.85
2024-01-01 10:02:00+00:00,119.5,119.2,119.8,1.33,1.1
2024-01-01 10:02:10+00:00,119.7,119.4,120.0,1.33,1.38
2024-01-01 10:02:20+00:00,119.8,119.5,120.1,1.34,1.69
2024-01-01 10:02:30+00:00,119.9,119.6,120.2,1.34,2.03
2024-01-01 10:02:40+00:00,120.0,119.7,120.3,1.35,2.4
2024-01-01 10:02:50+00:00,119.8,119.5,120.1,1.35,2.8
2024-01-01 10:03:00+00:00,119.6,119.3,119.9,1.36,3.23
2024-01-01 10:03:10+00:00,119.4,119.1,119.7,1.36,3.69
2024-01-01 10:03:20+00:00,119.2,118.9,119.5,1.35,4.18
2024-01-01 10:03:30+00:00,119.0,118.7,119.3,1.35,4.7
2024-01-01 10:03:40+00:00,118.8,118.5,119.1,1.34,5.25
2024-01-01 10:03:50+00:00,118.6,118.3,118.9,1.34,5.83
2024-01-01 10:04:00+00:00,118.4,118.1,118.7,1.33,6.44
2024-01-01 10:04:10+00:00,118.2,117.9,118.5,1.33,7.08
2024-01-01 10:04:20+00:00,118.0,117.7,118.3,1.32,7.75
2024-01-01 10:04:30+00:00,117.8,117.5,118.1,1.32,8.45
2024-01-01 10:04:40+00:00,117.6,117.3,117.9,1.31,9.18
2024-01-01 10:04:50+00:00,117.4,117.1,117.7,1.31,9.94
2024-01-01 10:05:00+00:00,117.2,116.9,117.5,1.3,10.73
2024-01-01 10:05:10+00:00,117.0,116.7,117.3,1.3,11.55
2024-01-01 10:05:20+00:00,116.8,116.5,117.1,1.29,12.4
2024-01-01 10:05:30+00:00,116.6,116.3,116.9,1.29,13.28
2024-01-01 10:05:40+00:00,116.4,116.1,116.7,1.28,14.19
2024-01-01 10:05:50+00:00,116.2,115.9,116.5,1.28,15.13
2024-01-01 10:06:00+00:00,116.0,115.7,116.3,1.27,16.1
